iterations;sequential;sequential_active;parallel;parallel_active;speedup;speedup_active
200;22;1.333333333;5;4.666666667;4.4;0.285714286
400;44;2;6;5;7.333333333;0.4
600;66.33333333;3;7;5;9.476190476;0.6
800;86.33333333;3;8.666666667;6;9.961538462;0.5
1000;110;4;10;7;11;0.571428571
1200;129.3333333;4.333333333;11.33333333;7;11.41176471;0.619047619
1400;152.3333333;5.333333333;12.33333333;7.666666667;12.35135135;0.695652174
1600;171.3333333;6;13.66666667;8;12.53658537;0.75
1800;194;7;14.33333333;8.333333333;13.53488372;0.84
2000;217.6666667;8;16;9;13.60416667;0.888888889
2200;237;9;17;10;13.94117647;0.9
2400;258.3333333;10;18;9.666666667;14.35185185;1.034482759
2600;280;10.66666667;19.33333333;10.66666667;14.48275862;1
2800;302;12;21;11;14.38095238;1.090909091
3000;323.6666667;12.66666667;21.66666667;11;14.93846154;1.151515152
3200;345;13.33333333;23;11.33333333;15;1.176470588
3400;366;14.66666667;24;12.33333333;15.25;1.189189189
3600;390.3333333;15.33333333;26;13;15.01282051;1.179487179
3800;423.3333333;17;26.33333333;13.33333333;16.07594937;1.275
4000;430.3333333;18;27.66666667;14;15.55421687;1.285714286
4200;454.6666667;19;29;14;15.67816092;1.357142857
4400;475;20.33333333;30;15;15.83333333;1.355555556
4600;498.3333333;21.33333333;31.66666667;15;15.73684211;1.422222222
4800;517.3333333;23;32.66666667;15.66666667;15.83673469;1.468085106
5000;609.6666667;23.66666667;34;16.33333333;17.93137255;1.448979592
5200;571.3333333;26.66666667;35;17;16.32380952;1.568627451
5400;762.3333333;27.33333333;36.33333333;17.33333333;20.98165138;1.576923077
5600;791.6666667;29;37.33333333;17.66666667;21.20535714;1.641509434
5800;783.3333333;28;39.33333333;19.66666667;19.91525424;1.423728814
6000;660.6666667;30.66666667;40.33333333;19.33333333;16.38016529;1.586206897
6200;777.3333333;34.66666667;41;21;18.95934959;1.650793651
6400;808;33;42.66666667;19.66666667;18.9375;1.677966102
6600;825.6666667;37.33333333;43.66666667;21.33333333;18.90839695;1.75
6800;855;37.66666667;45;20.66666667;19;1.822580645
7000;889.3333333;38.33333333;46.33333333;22.33333333;19.1942446;1.71641791
7200;918.3333333;38;47;22.33333333;19.53900709;1.701492537
7400;949.6666667;45.66666667;48.66666667;22.33333333;19.51369863;2.044776119
7600;868.6666667;41.66666667;49.66666667;23.66666667;17.48993289;1.76056338
7800;1082.666667;41.66666667;51;25;21.22875817;1.666666667
8000;909.3333333;45.66666667;52.66666667;26;17.26582278;1.756410256
8200;926.6666667;47;54;27.66666667;17.16049383;1.698795181
8400;995;50.66666667;54.33333333;24.66666667;18.31288344;2.054054054
8600;1064.333333;48;56;25;19.00595238;1.92
8800;1107.666667;52.66666667;57;28;19.43274854;1.880952381
9000;1116.666667;54.33333333;58.66666667;27;19.03409091;2.012345679
9200;1138;54.33333333;60;27;18.96666667;2.012345679
9400;1191;55.33333333;61;29.66666667;19.52459016;1.865168539
9600;1177.666667;56;62.33333333;30;18.89304813;1.866666667
9800;1273.333333;55.66666667;63.66666667;31;20;1.795698925
10000;1122.333333;62;64.66666667;30.33333333;17.3556701;2.043956044
