iterations;sequential;sequential_active;parallel;parallel_active;speedup;speedup_active
200;22;1.333333333;3;2;7.333333333;0.666666667
400;44;2;4;2;11;1
600;66.33333333;3;5;3;13.26666667;1
800;86.33333333;3;6;4;14.38888889;0.75
1000;110;4;7;5;15.71428571;0.8
1200;129.3333333;4.333333333;8;5;16.16666666;0.866666667
1400;152.3333333;5.333333333;8;6;19.04166666;0.888888889
1600;171.3333333;6;9;7;19.03703703;0.857142857
1800;194;7;11;7;17.63636364;1
2000;217.6666667;8;11;7;19.78787879;1.142857143
2200;237;9;13;7;18.23076923;1.285714286
2400;258.3333333;10;13;8;19.87179487;1.25
2600;280;10.66666667;15;9;18.66666667;1.185185186
2800;302;12;15;9;20.13333333;1.333333333
3000;323.6666667;12.66666667;17;9;19.03921569;1.407407408
3200;345;13.33333333;18;10;19.16666667;1.333333333
3400;366;14.66666667;18;11;20.33333333;1.333333334
3600;390.3333333;15.33333333;19;12;20.54385965;1.277777778
3800;423.3333333;17;20;12;21.16666667;1.416666667
4000;430.3333333;18;22;13;19.56060606;1.384615385
4200;454.6666667;19;23;13;19.76811594;1.461538462
4400;475;20.33333333;23;14;20.65217391;1.452380952
4600;498.3333333;21.33333333;24;15;20.76388889;1.422222222
4800;517.3333333;23;26;14;19.8974359;1.642857143
5000;609.6666667;23.66666667;27;15;22.58024691;1.577777778
5200;571.3333333;26.66666667;28;17;20.4047619;1.568627451
5400;762.3333333;27.33333333;29;17;26.28735632;1.607843137
5600;791.6666667;29;30;20;26.38888889;1.45
5800;783.3333333;28;31;17;25.2688172;1.647058824
6000;660.6666667;30.66666667;31;20;21.31182796;1.533333334
6200;777.3333333;34.66666667;33;18;23.55555555;1.925925926
6400;808;33;34;18;23.76470588;1.833333333
6600;825.6666667;37.33333333;35;22;23.59047619;1.696969697
6800;855;37.66666667;36;24;23.75;1.569444445
7000;889.3333333;38.33333333;38;21;23.40350877;1.825396825
7200;918.3333333;38;38;22;24.16666667;1.727272727
7400;949.6666667;45.66666667;39;23;24.35042735;1.985507247
7600;868.6666667;41.66666667;40;24;21.71666667;1.736111111
7800;1082.666667;41.66666667;41;23;26.40650407;1.811594203
8000;909.3333333;45.66666667;41;25;22.17886179;1.826666667
8200;926.6666667;47;43;24;21.5503876;1.958333333
8400;995;50.66666667;44;25;22.61363636;2.026666667
8600;1064.333333;48;45;26;23.65185184;1.846153846
8800;1107.666667;52.66666667;47;26;23.56737589;2.025641026
9000;1116.666667;54.33333333;47;27;23.75886526;2.012345679
9200;1138;54.33333333;48;29;23.70833333;1.873563218
9400;1191;55.33333333;49;32;24.30612245;1.729166667
9600;1177.666667;56;50;27;23.55333334;2.074074074
9800;1273.333333;55.66666667;51;28;24.96732025;1.988095238
10000;1122.333333;62;52;30;21.58333333;2.066666667
